,brand,ram_gb,storage_gb,expandable_storage,battery_type,battery_mah,rear_camera_mp,front_camera_mp,rear_camera_count,rating,reviews,price,display_inch,processor_family,warranty_months
431,Vivo,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-ion battery,3700.0,61,32.0,3,4.5,2800.0,23970,6.39,Snapdragon,
432,Vivo,4 GB RAM,64 GB ROM,,standard battery,5000.0,16,,1,4.4,119.0,11490,6.53,,12.0
433,Redmi,6 GB RAM,128 GB ROM,,li-polymer battery,4000.0,69,20.0,3,4.5,5085.0,21999,6.39,Snapdragon,12.0
434,XOLO,3 GB RAM,16 GB ROM,Expandable Upto 64 GB,standard battery,3000.0,13,13.0,1,3.9,1253.0,8499,5.0,Mediatek,12.0
435,Lava,1 GB RAM,16 GB ROM,Expandable Upto 32 GB,standard battery,3000.0,8,5.0,1,4.1,392.0,4999,5.45,Other,12.0
436,Realme,4 GB RAM,64 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.4,29669.0,10999,6.5,Snapdragon,
437,Realme,4 GB RAM,128 GB ROM,Expandable Upto 256 GB,standard battery,5000.0,24,13.0,4,4.4,29669.0,11999,6.5,Snapdragon,
438,Samsung,8 GB RAM,128 GB ROM,Expandable Upto 1 TB,lithium-ion battery,4500.0,88,10.0,3,4.5,50.0,77999,6.7,Exynos,12.0
439,Vivo,3 GB RAM,64 GB ROM,Expandable Upto 256 GB,li-ion battery,5000.0,23,8.0,3,4.4,2599.0,11490,6.35,Snapdragon,
440,POCO,6 GB RAM,128 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,17,20.0,2,4.5,29900.0,18999,6.18,Snapdragon,12.0
441,Realme,8 GB RAM,128 GB ROM,,standard battery,4200.0,86,32.0,4,4.3,17.0,41999,6.44,,
442,Redmi,3 GB RAM,32 GB ROM,Expandable Upto 256 GB,li-polymer battery,4000.0,14,13.0,2,4.4,14212.0,9999,6.3,Snapdragon,
